feature_combination,features,feature_count,label,model,train_samples,test_samples,PLCC,SRCC,KRCC,RMSE
level2_U2_V2,"U2_1, U2_2, U2_3, U2_4, U2_5...",256,TSV,adaboost_regressor,800,200,0.8230565342215382,0.7920372567765209,0.6038429898755063,0.3814034797787487
combined_U1_S1_V1_U2_S2_V2,"U1_1, U1_2, U1_3, U1_4, U1_5...",1152,B,adaboost_regressor,800,200,0.7064583701059713,0.6760057121840967,0.4964542803656194,0.5880311659287129
level1_U1_V1,"U1_1, U1_2, U1_3, U1_4, U1_5...",512,SR,adaboost_regressor,800,200,0.6869376683317255,0.6760236161263206,0.4933917504463089,0.5025464985565173
combined_U1_S1_V1_U2_S2_V2,"U1_1, U1_2, U1_3, U1_4, U1_5...",1152,S,adaboost_regressor,800,200,0.8097250978192555,0.8029192127386855,0.5992104619030559,0.4650715086922958
combined_U1_S1_V1_U2_S2_V2,"U1_1, U1_2, U1_3, U1_4, U1_5...",1152,U,adaboost_regressor,800,200,0.758732087132832,0.7617929145800754,0.5736739584096197,0.5168596288119685
combined_U1_S1_V1_U2_S2_V2,"U1_1, U1_2, U1_3, U1_4, U1_5...",1152,O,adaboost_regressor,800,200,0.8125337784894288,0.8046906759547848,0.6166738201475915,0.6421966263373499
level2_U2_V2,"U2_1, U2_2, U2_3, U2_4, U2_5...",256,TSV,catboost_regressor,800,200,0.8352630346610214,0.7928972915710282,0.6082847924985222,0.3661262849357303
level2_U2_S2_V2,"U2_1, U2_2, U2_3, U2_4, U2_5...",384,B,catboost_regressor,800,200,0.7371920319514274,0.6768652653197267,0.4945845129547366,0.5509616754423106
combined_U1_V1_U2_V2,"U1_1, U1_2, U1_3, U1_4, U1_5...",768,SR,catboost_regressor,800,200,0.6982960781622994,0.689508891923027,0.5007038410152699,0.4933846558964843
level1_U1_S1_V1,"U1_1, U1_2, U1_3, U1_4, U1_5...",768,S,catboost_regressor,800,200,0.8279558946603478,0.8245284816086333,0.6250565362935689,0.4427149023511601
combined_U1_S1_V1_U2_S2_V2,"U1_1, U1_2, U1_3, U1_4, U1_5...",1152,U,catboost_regressor,800,200,0.8039117421740392,0.795441752420304,0.6010766791000723,0.4760971371204533
combined_U1_V1_U2_V2,"U1_1, U1_2, U1_3, U1_4, U1_5...",768,O,catboost_regressor,800,200,0.8358153243445998,0.8217407707808917,0.6270774337336502,0.6082152810655291
level1_S1_V1,"S1_1, S1_2, S1_3, S1_4, S1_5...",512,TSV,decision_tree_regressor,800,200,0.7392470820280552,0.6736572084218974,0.5009388403573135,0.4766717802409578
level1_S1,"S1_1, S1_2, S1_3, S1_4, S1_5...",256,B,decision_tree_regressor,800,200,0.5480010810325296,0.5211479784063168,0.3676746425803455,0.7167648138894835
