feature_combination,features,feature_count,label,model,train_samples,test_samples,PLCC,SRCC,KRCC,RMSE
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,mlp_regressor,800,200,0.7087167684015886,0.680523616663908,0.4890724416987622,0.5020310812102218
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,ridge_regressor,800,200,0.7838103481716083,0.7300118658365818,0.5398760173560438,0.46748055201733785
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,decision_tree_regressor,800,200,0.5572578753781157,0.48619781558510794,0.3500069451168764,0.5851251623052864
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,random_forest_regressor,800,200,0.749396983183838,0.7006771344231076,0.5194539859532158,0.4460447691801351
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,extra_trees_regressor,800,200,0.7364231977343629,0.6822592043116485,0.5027541967272579,0.45552009415620304
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,gradient_boosting_regressor,800,200,0.7783401922498684,0.735738405028673,0.5510427438866542,0.4166379352547159
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,adaboost_regressor,800,200,0.7803249763614585,0.7414490592591645,0.5580657859461354,0.42129112017714326
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,svr_regressor,800,200,0.7817146639259717,0.7416337027431243,0.5469180971501224,0.4197026320201789
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,xgboost_regressor,800,200,0.7694405559857201,0.7172424709779895,0.5316267238829803,0.42791811333162
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,catboost_regressor,800,200,0.7942608718746453,0.7533035420738049,0.5647244989151499,0.40829967483374113
