feature_combination,features,feature_count,label,model,train_samples,test_samples,PLCC,SRCC,KRCC,RMSE
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,mlp_regressor,800,200,0.7084411934483751,0.680523616663908,0.4890724416987622,0.5020310812102218
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,ridge_regressor,800,200,0.7833655587744627,0.7300118658365818,0.5398760173560438,0.46748055201733785
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,decision_tree_regressor,800,200,0.55718253610851,0.48619781558510794,0.3500069451168764,0.5851251623052864
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,random_forest_regressor,800,200,0.7480971246126787,0.7006771344231076,0.5194539859532158,0.4460447691801351
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,extra_trees_regressor,800,200,0.7352013312777411,0.6822592043116485,0.5027541967272579,0.45552009415620304
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,gradient_boosting_regressor,800,200,0.7780184496411497,0.735738405028673,0.5510427438866542,0.4166379352547159
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,adaboost_regressor,800,200,0.7790202269181798,0.7414490592591645,0.5580657859461354,0.42129112017714326
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,svr_regressor,800,200,0.7811789924840241,0.7416337027431243,0.5469180971501224,0.4197026320201789
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,xgboost_regressor,800,200,0.7686063833330533,0.7172424709779895,0.5316267238829803,0.42791811333162
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,catboost_regressor,800,200,0.7910075589403825,0.7533035420738049,0.5647244989151499,0.40829967483374113
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,TSV,graph_neural_network,800,200,0.7647293171415395,0.7275854933039801,0.5379645956976511,0.4614770377711399
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,B,mlp_regressor,800,200,0.6094772994469151,0.5864775483325168,0.4173781267873577,0.6697870185546391
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,B,ridge_regressor,800,200,0.6219434710899401,0.5613821004864612,0.39338971959697105,0.6514457647877889
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,B,decision_tree_regressor,800,200,0.4224630902648842,0.38859612548217964,0.26851512647420495,0.7867928811474657
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,B,random_forest_regressor,800,200,0.6079121409094634,0.5407661341999191,0.37847255882311714,0.6644248963052355
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,B,extra_trees_regressor,800,200,0.6111417970998781,0.5409161503271634,0.3762551430324092,0.6636526974301163
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,B,gradient_boosting_regressor,800,200,0.6297168409004078,0.5710206366619047,0.4117337956837373,0.637391953770497
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,B,adaboost_regressor,800,200,0.6395150055655461,0.5646791926546121,0.4044323024188452,0.6624812241977034
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,B,svr_regressor,800,200,0.6719115744870485,0.6290843787117946,0.45235282130443405,0.604631260709219
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,B,xgboost_regressor,800,200,0.6423993384833284,0.5968751661118162,0.43572220287412394,0.632089893756882
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,B,catboost_regressor,800,200,0.6483601483109036,0.6059046368106481,0.43380716196396707,0.6258523529161323
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,B,graph_neural_network,800,200,0.6284398857795014,0.5704648269104647,0.40014275859594545,0.6477475848650804
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,SR,mlp_regressor,800,200,0.5497685702893529,0.5239966369051594,0.3689925896638635,0.6312639064392123
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,SR,ridge_regressor,800,200,0.5879609142640784,0.5834615249167086,0.41353311206743065,0.5583998285997307
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,SR,decision_tree_regressor,800,200,0.40407529683145643,0.37282158428613693,0.2581371036101519,0.687387148572131
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,SR,random_forest_regressor,800,200,0.6533272461069682,0.6438961937188199,0.4608888367899591,0.5466604705804103
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,SR,extra_trees_regressor,800,200,0.6643512083689715,0.663517566697859,0.4819023112422065,0.549689534181304
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,SR,gradient_boosting_regressor,800,200,0.6347293078403279,0.6174623544438207,0.44078024879737804,0.529091061213787
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,SR,adaboost_regressor,800,200,0.6268035626289702,0.6237689893924181,0.4522205976180216,0.5335764875045865
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,SR,svr_regressor,800,200,0.6629104521206327,0.6544812797955439,0.470641501966361,0.5096817920838149
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,SR,xgboost_regressor,800,200,0.6137000882799681,0.5947598836398554,0.42258197666409214,0.5410331780039103
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,SR,catboost_regressor,800,200,0.6160310700429028,0.6050097090720464,0.43494875827952956,0.5364620307291249
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,SR,graph_neural_network,800,200,0.6417573370907108,0.642902412166233,0.46028557915018176,0.5411049531617285
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,S,mlp_regressor,800,200,0.7779800145169156,0.7684397873247397,0.5681692554538584,0.539626706709355
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,S,ridge_regressor,800,200,0.7885431041599062,0.7848052087343457,0.5864616319782883,0.5082450032754967
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,S,decision_tree_regressor,800,200,0.5322707593011184,0.5187069885803216,0.36384987020760506,0.6955010637101731
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,S,random_forest_regressor,800,200,0.7622859449584048,0.7548524374504767,0.5564098705452963,0.5187273409730453
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,S,extra_trees_regressor,800,200,0.7557931209321902,0.7478862580713557,0.5496758638027863,0.5259868530385035
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,S,gradient_boosting_regressor,800,200,0.802279009348415,0.8026601684995648,0.6006331984065554,0.47446731669336956
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,S,adaboost_regressor,800,200,0.799140733934867,0.7958214907468919,0.5893543557898522,0.4817359763360558
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,S,svr_regressor,800,200,0.8374994744777295,0.831577913131497,0.6289763312630896,0.4343160527778252
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,S,xgboost_regressor,800,200,0.8115127477323697,0.8034251881988221,0.6045529933760762,0.46523847098591853
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,S,catboost_regressor,800,200,0.7961312513325933,0.7871130181604391,0.5867631546682515,0.47706377324697474
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,S,graph_neural_network,800,200,0.8131574721668249,0.8085035689671283,0.606663652205818,0.4910175824627394
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,U,mlp_regressor,800,200,0.6713919326089989,0.6805795202515916,0.48569007643433465,0.6188807549569533
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,U,ridge_regressor,800,200,0.7205358966890384,0.7199187265963084,0.5250241319202139,0.5635394220158056
level1_U1,"U1_1, U1_2, U1_3, U1_4, U1_5...",256,U,decision_tree_regressor,800,200,0.4309303250295864,0.3963149845465236,0.28168933740414814,0.728697146494766
